Code,Name,Close,MA25,MA75,Turnover,TurnoverMA25,TurnoverMA75,Category,DataDate
5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,,,,,,,,
5901,東洋製罐グループホールディングス,,,,,,,,
5902,ホッカンホールディングス,,,,,,,,
5911,横河ブリッジホールディングス,,,,,,,,
5929,三和ホールディングス,,,,,,,,
5930,文化シヤッター,,,,,,,,
5932,三協立山,,,,,,,,
5933,アルインコ,,,,,,,,
5938,ＬＩＸＩＬ,,,,,,,,
5943,ノーリツ,,,,,,,,
5946,長府製作所,,,,,,,,
5947,リンナイ,,,,,,,,
5949,ユニプレス,,,,,,,,
5957,日東精工,,,,,,,,
5959,岡部,,,,,,,,
5970,ジーテクト,,,,,,,,
5975,東プレ,,,,,,,,
5976,高周波熱錬,,,,,,,,
5981,東京製綱,,,,,,,,
5988,パイオラックス,,,,,,,,
5989,エイチワン,,,,,,,,
5991,日本発條,,,,,,,,
6005,三浦工業,,,,,,,,
6013,タクマ,,,,,,,,
6027,弁護士ドットコム,,,,,,,,
6036,ＫｅｅＰｅｒ技研,,,,,,,,
6047,Ｇｕｎｏｓｙ,,,,,,,,
6050,イー・ガーディアン,,,,,,,,
6055,ジャパンマテリアル,,,,,,,,
6058,ベクトル,,,,,,,,
6062,チャーム・ケア・コーポレーション,,,,,,,,
6070,キャリアリンク,,,,,,,,
6071,ＩＢＪ,,,,,,,,
6073,アサンテ,,,,,,,,
6078,バリューＨＲ,,,,,,,,
6080,Ｍ＆Ａキャピタルパートナーズ,,,,,,,,
6088,シグマクシス・ホールディングス,,,,,,,,
6089,ウィルグループ,,,,,,,,
6098,リクルートホールディングス,,,,,,,,
6099,エラン,,,,,,,,
6101,ツガミ,,,,,,,,
6103,オークマ,,,,,,,,
6104,芝浦機械,,,,,,,,
6113,アマダ,,,,,,,,
6118,アイダエンジニアリング,,,,,,,,
6134,ＦＵＪＩ,,,,,,,,
6135,牧野フライス製作所,,,,,,,,
6136,オーエスジー,,,,,,,,
6140,旭ダイヤモンド工業,,,,,,,,
6141,ＤＭＧ森精機,,,,,,,,
6143,ソディック,,,,,,,,
6146,ディスコ,,,,,,,,
6151,日東工器,,,,,,,,
6167,冨士ダイス,,,,,,,,
6178,日本郵政,,,,,,,,
6183,ベルシステム２４ホールディングス,,,,,,,,
6184,鎌倉新書,,,,,,,,
6191,エアトリ,,,,,,,,
6194,アトラエ,,,,,,,,
6196,ストライク,,,,,,,,
6197,ソラスト,,,,,,,,
6200,インソース,,,,,,,,
6201,豊田自動織機,,,,,,,,
6209,リケンＮＰＲ,,,,,,,,
6222,島精機製作所,,,,,,,,
6235,オプトラン,,,,,,,,
6237,イワキポンプ,,,,,,,,
6238,フリュー,,,,,,,,
6240,ヤマシンフィルタ,,,,,,,,
6247,日阪製作所,,,,,,,,
6250,やまびこ,,,,,,,,
6254,野村マイクロ・サイエンス,,,,,,,,
6258,平田機工,,,,,,,,
6264,マルマエ,,,,,,,,
6266,タツモ,,,,,,,,
6268,ナブテスコ,,,,,,,,
6269,三井海洋開発,,,,,,,,
